0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2A,2B,4A,4B,5A,5B,7A,7B,9A,9B,11A,11B,13A,22,23
INK2A,INK2B,INK4A,INK4B,INK5A,INK5B,INK7A,INK7B,INK9A,INK9B,INK11A,INK11B,INK13A,INK22,INK23
16.5653606157965,16.5656800872657,16.566378723227,16.566692217962,16.5666482740207,16.5670011732863,16.5668146449287,16.5673089940666,16.5668804795337,16.5673723910992,16.5669576343691,16.5672591587796,16.5668190413422,16.5657984348412,16.5651783464965
49.1698827171294,49.1697668700725,49.1710412461168,49.1709510529458,49.1716721371313,49.1716436334435,49.1730717072278,49.173002597455,49.173594435887,49.1735541134072,49.1738369473014,49.1738214866142,49.1746900042913,49.169223025814,49.1695609183991
125,260,70,280,110,290,85,280,50,270,80,305,100,40,95
3,2,3,3,4,4,14,3,5,6,3,6,3,5,4
